Name,Party,Votes,Constituency,Region
MTEMELWA Msafiri Abdullahamani,ACT,1007,Urambo Mashariki,Tabora
SITTA Margaret Simwanza,CCM,31022,Urambo Mashariki,Tabora
SAMWEL Wilson Ntakamulenga,CHADEMA,26857,Urambo Mashariki,Tabora
PASCHAL John Koroti,CUF,256,Urambo Mashariki,Tabora
KAFUKO Kafuko Sulemani,NLD,3,Urambo Mashariki,Tabora
MWALIM Masud Said,NRA,92,Urambo Mashariki,Tabora
BAKARI Haruna Mtongwa,ACT,555,Igalula,Tabora
MUSA Rashid Ntimizi,CCM,26369,Igalula,Tabora
MAGANGA Raymond Maganga,CHADEMA,5147,Igalula,Tabora
MAGOZI Mohammed S. A. Marjeby,CUF,4967,Igalula,Tabora
KANSA Mohamedi Mbaruku,ACT,881,Tabora Kaskazini,Tabora
ALMAS Athuman Maige,CCM,32792,Tabora Kaskazini,Tabora
JOSEPH Nhilili Kidaha,CHADEMA,165531,Tabora Kaskazini,Tabora
REHEMA Hamisi Bushiri,CUF,660,Tabora Kaskazini,Tabora
KIDEGE Hamad Ayubu Mohamed,ACT,1832,Tanga Mjini,Tanga
JARIBU Ally Mlwale,ADC,1144,Tanga Mjini,Tanga
NUNDU Omari Rashid,CCM,57014,Tanga Mjini,Tanga
MWANVITA Mashaka Shabani,CHAUMMA,197,Tanga Mjini,Tanga
MUSSA Bakari Mbarouk,CUF,58675,Tanga Mjini,Tanga
DOYO Hassani Mohamedi,ADC,184,Handeni Mjini,Tanga
MHINA Juma Bakari,AFP,6,Handeni Mjini,Tanga
KIGODA Abdalah Omari,CCM,10315,Handeni Mjini,Tanga
DAUDI Killo Lusewa,CHADEMA,648,Handeni Mjini,Tanga
SHUNDI Remmy Aidan,CUF,2419,Handeni Mjini,Tanga
BAKARI Makame Semndili,TLP,19,Handeni Mjini,Tanga
SALMA Issa Mntambo,ACT,1837,Korogwe Mjini,Tanga
CHATANDA Mary Pius,CCM,16690,Korogwe Mjini,Tanga
KIMEA Hemedi Amani,CHADEMA,7025,Korogwe Mjini,Tanga
MASOUD Rashid Mohamed,CUF,115,Korogwe Mjini,Tanga
ROSE Michael Lugendo,NCCR MAGEUZI,394,Korogwe Mjini,Tanga
JANUARY Yusuf Makamba,CCM,36887,Bumbuli,Tanga
DAVID John Chanyeghea,CHADEMA,6957,Bumbuli,Tanga
MWELEKWA Ramadhani Ally,ACT,959,Handeni Vijijini,Tanga
FRANK Jupiter Mchalla,ADC,493,Handeni Vijijini,Tanga
JANETH William Kikowe,AFP,699,Handeni Vijijini,Tanga
MBONI Mohamed Mhita,CCM,45951,Handeni Vijijini,Tanga
HAJI Sedenga Salim Mwikalo,CHADEMA,9730,Handeni Vijijini,Tanga
KILANGO Robinson Richard,CUF,4865,Handeni Vijijini,Tanga
HABIBU Rashidi Mbota,ACT,559,Kilindi,Tanga
HIBA Ally Abdallah,ADC,401,Kilindi,Tanga
KIGUA Omari Mohamed,CCM,33748,Kilindi,Tanga
MAGAWA Ndaro Abdallah,CHADEMA,12669,Kilindi,Tanga
STEPHEN Hilary Ngonyani,CCM,53906,Korogwe Vijijini,Tanga
KIMEA Emmanuel Phares,CHADEMA,17003,Korogwe Vijijini,Tanga
PETER Ezra Msangi,CUF,784,Korogwe Vijijini,Tanga
SHABANI Omari Shekilindi,CCM,19775,Lushoto,Tanga
SHEKIVULI Juma Dickson,CHADEMA,4402,Lushoto,Tanga
KAONEKA Adam Salim,CUF,350,Lushoto,Tanga
SHANGAZI Rashid Abdallah,CCM,33256,Mlalo,Tanga
SHEMBOKO Calvin Clemence,CHADEMA,7855,Mlalo,Tanga
GOGOLA Shechonge Gogola,CUF,1067,Mlalo,Tanga
ALI Tendeza Mwaita,ACT,402,Mkinga,Tanga
KITANDULA Dustan Luka,CCM,21613,Mkinga,Tanga
RACHEL Sadick Kiogwe,CHADEMA,3789,Mkinga,Tanga
MBEGA Bakari Kassim,CUF,13547,Mkinga,Tanga
ZUBERI Hamisi Ngoda,ACT,691,Muheza,Tanga
REHEMA Nurdini Mzimbili,AFP,287,Muheza,Tanga
BALOZI ADADI Mohamed Rajabu,CCM,54417,Muheza,Tanga
ERNEST Sekidia Msigwa,CHADEMA,20208,Muheza,Tanga
Dkt. MGAYA Charles Erasto,CUF,1387,Muheza,Tanga
MHINA Peter Mhina,UDP,163,Muheza,Tanga
AZIZI Khalife Mohamedi,ADC,49,Pangani,Tanga
JUMAA Hamidu Aweso,CCM,12551,Pangani,Tanga
MWIDAU Amina Mohamed,CUF,11685,Pangani,Tanga
